Time,HR,BR,Posture,Activity,PeakAcceleration,BatteryVolts,BatteryLevel,BRAmplitude,ECGAmplitude,ECGNoise,HRConfidence,HRV,ROGTime,ROG,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3,ImpulseLoad,WalkSteps,RunSteps,Bounds,Jumps,MinorImpacts,MajorImpacts,AvForceDevRate,AvStepImpulse,AvStepPeriod,JumpFlightTime,PeakAccelPhi,peakAccelTheta
03/05/2020 20:14:43.436,65,10.0,-15,0.10,0.13,4.173,95,0.000,0.000000,0.000000,0,65535,3,2,33.3,691,255,-128,-128,6553.5,465,463,507,5,0,0,0,0,0,0,0.00,0.00,0.000,0.00,163,140
03/05/2020 20:14:44.436,65,10.0,-15,0.05,0.08,4.173,95,0.000,0.000000,0.000060,0,65535,0,0,33.3,691,255,-128,-128,6553.5,463,460,507,5,0,0,0,0,0,0,0.00,0.00,0.000,0.00,162,162
03/05/2020 20:14:45.436,65,10.0,-16,0.05,0.44,4.173,95,0.000,0.005140,0.000840,0,65535,0,0,33.3,688,255,-128,-128,6553.5,822,622,529,5,0,0,0,0,0,0,0.00,0.00,0.000,0.00,130,173
03/05/2020 20:14:46.436,60,10.0,-17,0.04,0.20,4.173,95,0.000,0.005140,0.001240,0,65535,0,1,33.3,688,255,-128,-128,6553.5,129,232,442,14,3,0,0,0,0,0,0.00,0.00,0.000,0.00,155,176
03/05/2020 20:14:47.436,55,10.0,-19,0.11,0.20,4.173,95,0.000,0.005120,0.000820,0,65535,0,2,33.3,688,255,-128,-128,6553.5,505,475,508,14,3,0,0,0,0,0,0.00,0.00,0.000,0.00,151,161
03/05/2020 20:14:48.436,67,10.0,-18,0.09,0.32,4.173,95,65535.000,0.005120,0.000640,0,65535,1,0,33.3,688,255,-128,-128,6553.5,415,446,506,18,5,0,0,0,0,0,0.00,0.00,0.000,0.00,178,-71
03/05/2020 20:14:49.436,76,10.0,-15,0.12,0.21,4.173,95,65535.000,0.004720,0.000520,9,65535,1,1,33.3,688,255,-128,-128,6553.5,445,454,504,18,5,0,0,0,0,0,0.00,0.00,0.000,0.00,153,174
03/05/2020 20:14:50.436,85,10.0,-17,0.08,0.12,4.173,95,63942.000,0.004720,0.000380,20,65535,1,2,33.3,688,255,-128,-128,6553.5,487,464,506,18,5,0,0,0,0,0,0.00,0.00,0.000,0.00,157,175
03/05/2020 20:14:51.436,96,10.0,-18,0.04,0.06,4.165,94,52299.000,0.004720,0.000260,30,65535,1,3,33.3,688,255,-128,-128,6553.5,441,452,497,18,5,0,0,0,0,0,0.00,0.00,0.000,0.00,157,163
03/05/2020 20:14:52.436,100,10.0,-18,0.02,0.06,4.165,94,40240.000,0.004720,0.000200,39,65535,1,4,33.3,688,255,-128,-128,6553.5,448,453,505,18,5,0,0,0,0,0,0.00,0.00,0.000,0.00,158,174
